Date;16-PIT-001;16-FIT-006;16-DIT-005
1/7/2025 12:00 AM;2313,4729;4297,779785;1011,437988
1/7/2025 12:05 AM;2318,177002;4279,475098;1007,171021
1/7/2025 12:10 AM;2326,404053;4268,615234;1005,780029
1/7/2025 12:15 AM;2309,052979;4229,458008;1005,73999
1/7/2025 12:20 AM;2297,195068;4222,040039;1006,155029
1/7/2025 12:25 AM;2294,169922;4174,189941;1005,440002
1/7/2025 12:30 AM;2157,314941;4581,76123;1005,460999
1/7/2025 12:35 AM;2081,87793;4540,120117;1005,039001
1/7/2025 12:40 AM;2089,5271;4444,888184;1005,03302
1/7/2025 12:45 AM;2071,048096;4503,438965;1008,776001
1/7/2025 12:50 AM;2262,654053;4402,548828;1187,849976
1/7/2025 12:55 AM;2681,728027;4413,874023;1461,666992
1/7/2025 1:00 AM;2919,581055;4129,325195;1544,237061
1/7/2025 1:05 AM;2946,375977;4190,083984;1558,113037
1/7/2025 1:10 AM;2953,125977;4181,600098;1555,709961
1/7/2025 1:15 AM;2960,6521;4161,192871;1561,381958
1/7/2025 1:20 AM;2990,697998;4193,086914;1559,371948
1/7/2025 1:25 AM;3035,618896;4217,77002;1566,129028
1/7/2025 1:30 AM;3008,873047;4186,890137;1564,44397
1/7/2025 1:35 AM;2981,147949;4160,666992;1565,159058
1/7/2025 1:40 AM;2931,49707;4183,171875;1565,003052
1/7/2025 1:45 AM;2924,789063;4153,645996;1564,428955
1/7/2025 1:50 AM;2894,898926;4133,971191;1566,649048
1/7/2025 1:55 AM;2892,986084;4175,243164;1567,415039
1/7/2025 2:00 AM;2873,726074;4157,203125;1565,609985
1/7/2025 2:05 AM;2914,940918;4131,452148;1569,667969
1/7/2025 2:10 AM;2890,905029;4146,833008;1564,265991
1/7/2025 2:15 AM;2904,22998;4159,694824;1565,724976
1/7/2025 2:20 AM;1269,391968;4863,297852;1564,541016
1/7/2025 2:25 AM;1153,38501;4506,688965;1567,432983
1/7/2025 2:30 AM;1136,041016;4416,671875;1568,192017
1/7/2025 2:35 AM;1114,473999;4414,846191;1563,253052
1/7/2025 2:40 AM;1106,987061;4383,708984;1568,453979
1/7/2025 2:45 AM;1105,593994;4378,825195;1572,821045
1/7/2025 2:50 AM;1113,387939;4384,708984;1575,213013
1/7/2025 2:55 AM;1103,324951;4361,645996;1570,110962
1/7/2025 3:00 AM;1104,609985;4370,922852;1567,67395
1/7/2025 3:05 AM;1103,474976;4390,532227;1568,103027
1/7/2025 3:10 AM;1095,260986;4370,804199;1569,370972
1/7/2025 3:15 AM;1106,737061;4380,808105;1568,061035
1/7/2025 3:20 AM;1152,489014;4337,524902;1572,217041
1/7/2025 3:25 AM;1698,317017;4231,891113;1568,587036
1/7/2025 3:30 AM;1738,380981;4278,125;1569,386963
1/7/2025 3:35 AM;1746,19104;4242,347168;1572,006958
1/7/2025 3:40 AM;1747,324951;4306,509766;1569,890015
1/7/2025 3:45 AM;1744,828003;4275,523926;1568,859009
1/7/2025 3:50 AM;1769,203003;4291,50293;1569,875
1/7/2025 3:55 AM;1779,732056;4280,428223;1567,920044
1/7/2025 4:00 AM;1785,639038;4314,717773;1570,536011
1/7/2025 4:05 AM;1784,958008;4332,291992;1572,241943
1/7/2025 4:10 AM;1783,310059;4234,865234;1571,972046
1/7/2025 4:15 AM;1785,375;4324,362793;1570,524048
1/7/2025 4:20 AM;1784,224976;4269,775879;1572,19104
1/7/2025 4:25 AM;1794,685059;4314,504883;1568,401001
1/7/2025 4:30 AM;1801,375977;4289,104004;1574,723022
